label,Governmental Activities,Business-Type Activities,Total,Rent Stabilization,Berkeley Housing Authority
Cash and investments,135791433.0,39757347.0,175548780.0,3654378.0,1434419.0
Receivables (net of allowance for uncollectibles),72297266.0,4004883.0,76302149.0,-,329240.0
Due from Component Unit,211243.0,-,211243.0,-,-
Due from Primary Government,-,-,-,-,170902.0
Internal balances,178207.0,-178207.0,-,-,-
Inventories,37693.0,-,37693.0,-,-
Property held for resale,458550.0,-,458550.0,-,-
Deferred costs,1296993.0,-,1296993.0,-,-
Restricted assets:,-,-,-,-,-
Cash and investments,4675040.0,12586834.0,17261874.0,-,5247627.0
Capital assets not being depreciated:,-,-,-,-,-
Land,20327797.0,2979050.0,23306847.0,-,2579621.0
Construction in progress,-,3394478.0,3394478.0,-,69515.0
Capital assets net of accumulated depreciation:,-,-,-,-,-
Buildings,74051286.0,27067309.0,101118594.0,-,2700529.0
Improvements other than buildings,6685835.0,2080063.0,8765898.0,-,57737.0
Machinery and equipment,9599587.0,1134676.0,10734262.0,51782.0,6388.0
Infrastructure,78149851.0,120680724.0,198830575.0,-,-
Net OPEB assets - Fire,153388.0,-,153388.0,-,-
Total assets,403914169.0,213607157.0,617421325.0,3606160.0,12595978.0
LIABILITIES,-,-,-,-,-
Accounts payable,5276885.0,2505901.0,7782786.0,62258.0,138254.0
Accrued salaries and wages,7467213.0,1657129.0,9124342.0,124310.0,-
Advances - Rent Registration,-,-,-,2528590.0,-
Due to Component Unit,170902.0,-,170902.0,-,-
Due to primary government,-,-,-,-,211243.0
Other liabilities,28045625.0,1017701.0,29063226.0,252164.0,320247.0
Noncurrent liabilities (Note Ill E):,-,-,-,-,-
Due within one year,12790500.0,1372708.0,14163208.0,16288.0,141520.0
Due in more than one year,113414816.0,37456467.0,150871283.0,198397.0,1617394.0
Total liabilities,167165841.0,44009906.0,211175747.0,3182007.0,2428658.0
NET ASSETS,-,-,-,-,-
Invested in capital assets net of related debt,128227860.0,133301364.0,261529224.0,51782.0,3708101.0
Restricted for:,-,-,-,-,-
Debt service,4675040.0,12586834.0,17261874.0,-,-
Other purposes,-,-,-,-,5213520.0
Unrestricted,103845427.0,23609052.0,127454479.0,372371.0,1245699.0
Total net assets,236748328.0,169497251.0,406245578.0,424153.0,10167320.0
The notes to the financial statements are an integral part of this statement,-,-,-,-,-
