label,,,,,,,,,,
General governmenl $ 34 530366 $(4.943278) $ 2464243 $ 198482 S - § (26.924383) ¥ - S,-,-,-,-,-,-,-,-,-28924363.0,-
FPublic sefely,-,84403319.0,-,15341433.0,276942.0,-,-88784545.0,-,-68784945.0,-
Highways and streels,-,13718208.0,121846.0,2974062.0,4081391.0,8102721.0,138121.0,-,1318121.0,-
Health and wellfare,-,24082486.0,-,1387591.0,15554684.0,-,-7160211.0,-,-7160211.0,-
Culture and recreation,-,3457549.0,-,3037335.0,212561.0,-,-31325597.0,-,-31325597.0,-
Community development end housing,-,24133628.0,228096.0,2292171.0,11403944.0,-,-10685810.0,-,-10885810.0,-
L conomic developmant,-,5226694.0,-,480068.0,44352.0,-,-4702274.0,-,-4702274.0,-
interest on long-term debl,-,5117921.0,-,-,-,-,-5117921.0,-,-5117921.0,-
Totat governmental activitios 225788318 (4.593.336) 27956804 31772355 A.102.721,-,-,-,-,-,-,1153382999.0,-,-153362998.0,-
Business-type eclivities:,-,-,-,-,-,-,-,-,-,-
Parking related,-,7361109.0,-,8231201.0,-,-,-,850092.0,850092.0,-
Manna operations and maintenance,-,4652540.0,360052.0,4787137.0,-,-,-,-225455.0,-225455.0,-
Sewer services,-,10420515.0,858266.0,12352405.0,-,-,-,1073624.0,1073624.0,-
Clean storm waler,-,2725889.0,231743.0,2062126.0,-,-,-,-8955086.0,-695508.0,-
Refuse services,-,30336045.0,2190865.0,32313189.0,-,-,-,-213521.0,-213521.0,-
Permit service cenler,-,8639316.0,852610.0,7908608.0,14963.0,-,-,-1668355.0,-1668355.0,-
Building purchase and manegement,-,2861614.0,-,2921485.0,-,-,-,39871.0,356871.0,-
Total business-type ectivilies,-,87037028.0,459333.0,70578151.0,14963.0,-,-,-1039250.0,1039250.0,-
Tolal primary govormment > 292 825344 - S,-,-,-,98533055.0,231787318.0,8102721.0,-153362999.0,-1039250.0,-154402249.0,-
Component units,-,-,-,-,-,-,-,-,-,-
Rent Stabilizetion,-,348221.0,-,3808925.0,-,-,-,-,326708.0,-
Berkeley Housing Authority,-,24259433.0,-,289618.0,18817528.0,281916.0,-,-,-,4860370.0
Total Component Units $ 27741852 § - s,-,-,-,4008543.0,18817528.0,291916.0,-,-,326706.0,-4860370.0
{>enerel revenues:,-,-,-,-,-,-,-,-,-,-
Taxes:,-,-,-,-,-,-,-,-,-,-
Property laxes levied for generel purposes,-,-,-,-,-,-,50488138.0,-,50488138.0,-
Property taxes levied for debt service,-,-,-,-,-,-,8545702.0,-,8545702.0,-
Property {axes for special purposes,-,-,-,-,-,-,-,-,-,-
Library,-,-,-,-,-,-,13911751.0,-,13911751.0,-
Parks,-,-,-,-,-,-,8753907.0,-,8753907.0,-
Pargmedic,-,-,-,-,-,-,2335060.0,-,2335060.0,-
Fire,-,-,-,-,-,-,5220824.0,-,5220824.0,-
Sales taxas,-,-,-,-,-,-,12733983.0,-,12733983.0,-
Utilty users taxes,-,-,-,-,-,-,14418851.0,-,14418851.0,-
Trensien occupancy taxes,-,-,-,-,-,-,3673023.0,-,3673023.0,-
Business icense lax,-,-,-,-,-,-,13505958.0,-,13505958.0,-
Other taxes,-,-,-,-,-,-,3440025.0,-,3440025.0,-
Unrestiriclied molor vehicle fees,-,-,-,-,-,-,8543643.0,-,8543643.0,-
Other unrestricted stale subventions,-,-,-,-,-,-,388461.0,-,386481.0,-
Contnbutions not restricted to specific programs,-,-,-,-,-,-,685255.0,-,865255.0,-
Invesiment earmings,-,-,-,-,-,-,5868959.0,1068472.0,6935431.0,-
Miscellaneous,-,-,-,-,-,-,1493684.0,-,1493684.0,386190.0
(Gain on sales of capitel assets,-,-,-,-,-,-,-,10742.0,10742.0,-
Transfers:,-,-,-,-,-,-,-,-,-,-
Primary govemmaent,-,-,-,-,-,-,837018.0,-837018.0,-,-
Total general revenues and transfers,-,-,-,-,-,-,154826242.0,240186.0,155066439.0,386190.0
Changes in net essets,-,-,-,-,-,-,1463244.0,-799053.0,664191328706.0,-4474180.0
Net asseis--beginning (as restated),-,-,-,-,-,-,238238780.0,187277449.0,405516209255128.0,11804640.0
Net assots--ending,-,-,-,-,-,-,230702004.0,166478398.0,406160400581832.0,37130480.0
o,-,-,-,-,-,-,-,-,-,-
~ Tha accompanying notes are an inlegral parl of these financial staslements,-,-,-,-,-,-,-,-,-,-
