label,Activities,Activities,Total,Stabilization,Housing Authority
Cash and investments,143554204.0,34641599.0,178195803.0,4024414.0,1638460.0
Receivables (net of allowance for uncollectibles),83500649.0,3325165.0,86825814.0,-,136091.0
inventories,33461.0,-,33461.0,-,-
Due from Component Unit,201829.0,-,201829.0,-,-
Irizrnal balances,106320.0,-106320.0,-,-,-
- -perty held for resale,211347.0,-,211347.0,-,-
- apaids,-,-,-,-,1557.0
Deferred costs,1388808.0,-,1388808.0,-,-
Restricted assets:,-,-,-,-,-
Cash and investments,9887712.0,12620755.0,22508467.0,-,2343775.0
Capital assets not being depreciated:,-,-,-,-,-
Land,22327797.0,2979050.0,25306847.0,-,2579621.0
Construction in progress,984860.0,-,984860.0,-,-
Capital assets net of accumulated depreciation:,-,-,-,-,-
Buildings,69092611.0,25903874.0,94996485.0,-,2684932.0
improvements other than buildings,7620345.0,8774439.0,16394784.0,-,-
Machinery and equipment,20705301.0,1162121.0,21867421.0,50841.0,39875.0
Infrastructure,80595403.0,122987964.0,203583367.0,-,-
Net OPEB assets - Fire,108581.0,-,108581.0,-,-
Total assets,440319227.0,212288647.0,652607874.0,4075255.0,9424311.0
LIABILITIES,-,-,-,-,-
Accounts payable,5724520.0,2306527.0,8031047.0,83879.0,308760.0
Accrued salaries and wages,9124702.0,2046452.0,11171154.0,152340.0,-
Advances - rent registration,-,-,-,2817881.0,-
Due to primary government,-,-,-,-,201829.0
Accrued Interest Payable,1747715.0,789894.0,2537609.0,-,-
Deposit Held,675643.0,369783.0,1045426.0,199764.0,243229.0
Other Liabilities,3406580.0,171767.0,3578347.0,-,-
Tax and revenue anticipation notes,25000000.0,-,25000000.0,-,-
Noncurrent liabilities,-,-,-,-,-1.0
Due within one year,16239956.0,1506011.0,17745967.0,18175.0,168504.0
Due in more than one year,138698108.0,38619817.0,177317925.0,221384.0,1371529.0
Total liabilities,200617223.0,45810251.0,246427475.0,3493423.0,2293851.0
NET ASSETS,-,-,-,-,-
Invested in capital assetls net of related debt,127500179.0,137156516.0,264656695.0,50841.0,3863536.0
Restricted for:,-,-,-,-,-
Debt service,11260187.0,-,11260187.0,-,-
Special purposes,57125062.0,-,57125062.0,-,-
Capital projects,32614564.0,-,32614564.0,-,2346334.0
Unrestricted,11202012.0,29321880.0,40523892.0,530991.0,920589.0
Total net assels,239702004.0,166478396.0,4061804003.0,581832.0,7130460.0
The accompanying notes are an integral part of these financial statements.,-,-,-,-,-
