label,General Fund,,Revenue,Project | Capital Improvement,Other Governmental Funds,Total Governmental Funds
Cash and investments in treasury,28430832.0,-,12893913.0,6677225.0,57821880.0,105823851.0
Restricted Cash and investments,-,-,-,-,10511832.0,10511832.0
Receivables (net of allowance,-,-,-,-,-,-
where applicable):,-,-,-,-,-,-
Accounts,6964852.0,-,156082.0,-,975227.0,8096161.0
Interest,1320269.0,-,-,533753.0,379787.0,2233810.0
Taxes,5915953.0,-,-,-,510998.0,6426951.0
Special assessments,-,-,-,-,314641.0,314641.0
Subventions/grants,-,-,9580682.0,-,863435.0,10434117.0
Due from other funds,9165640.0,-,-,2313788.0,-,11479428.0
Due from components units,218555.0,-,-,-,-,218555.0
Advance to other funds,-,-,-,-,47440.0,47440.0
Notes receivable,3357980.0,-,23043163.0,8963110.0,20894223.0,56258476.0
Other,1617817.0,-,-,-,-,1517817.0
Property held for resale,-,-,-,-,211347.0,211347.0
Total assets,56891898.0,-,45673840.0,18487877.0,92520810.0,213574426.0
LIABILITIES,-,-,-,-,-,-
Accounts payable,1851560.0,-,836487.0,98165.0,1640474.0,4426686.0
Accrued salaries and wages,6245234.0,-,701761.0,58742.0,2694938.0,9700674.0
Other liabilities,1853149.0,-,415322.0,-,541765.0,2810236.0
Due to other funds,-,-,10723815.0,-,650374.0,11374189.0
Advance from other funds,-,-,-,-,47440.0,47440.0
Deposits held,458928.0,-,-,12933.0,173989.0,645850.0
Deferred revenue,4832951.0,-,6746566.0,502303.0,1566627.0,13648447.0
Tax and revenue anticipation note,-,-,-,-,-,-
Total liabilities,15241822.0,-,19423951.0,672143.0,7315607.0,42653522.0
FUND BALANCES,-,-,-,-,-,-
Nonspendable,3357980.0,-,-,-,2638276.0,5996255.0
Restricted for,-,-,35709462.0,8963110.0,83340445.0,128013017.0
Assigned to,2271366.0,-,-,1702626.0,-,3973991.0
Unassigned,-,-,-,-,-,-
General fund,36020731.0,-,-,-,-,36020731.0
Special revenue funds,-,-,-9459573.0,-,-771730.0,-10231303.0
Capital projects funds,-,-,-,7149999.0,-1786.0,7148212.0
Total fund balances,41650076.0,-,26249889.0,17815734.0,85205203.0,170920904.0
Total liabilities and fund balances $ 56891898 b,-,-,45673840.0,18487877.0,92520810.0,213674426.0
The accompanying notes are an integral part of these financial statements.,-,-,-,-,-,-
