label,Governmental Activities,Business-Type Activities,Total,Rent Stabilization,Berkeley | Housing Authority
Cash and investments,133055963.0,37023726.0,170079689.0,4179614.0,1944761.0
Receivables (net of allowance for uncollectibles),85298211.0,3681237.0,88979448.0,-,67072.0
Inventories,99152.0,-,99152.0,-,-
Due from Component Unit,218555.0,-,218555.0,-,-
Internal balances,88501.0,-88501.0,-,-,-
Property held for resale,211347.0,-,211347.0,-,-
Deferred costs,1418863.0,-,1418863.0,-,-
Restricted assets:,-,-,-,-,-
Cash and investments,10511832.0,9733247.0,20245078.0,-,213115.0
Capital assets not being depreciated:,-,-,-,-,-
Land,22327797.0,2979050.0,25306847.0,-,2579621.0
Construction in progress,4735495.0,380677.0,5116172.0,-,-
Capital assets net of accumulated depreciation:,-,-,-,-,-
Buildings,69128226.0,25064705.0,94192930.0,-,2380113.0
Improvements other than buildings,8703972.0,482477.0,18186449.0,-,-
Machinery and equipment,17916464.0,1019469.0,18935932.0,45607.0,26559.0
Infrastructure,80068924.0,124928251.0,204997175.0,-,-
Net OPEB assets - Fire,97127.0,-,97127.0,-,-
Total assets,433880428.0,214204336.0,648084764.0,4225221.0,7211241.0
LIABILITIES,-,-,-,-,-
Accounts payable,4939581.0,707626.0,5647207.0,42349.0,259488.0
Accrued salaries and wages,10264680.0,2158367.0,12423047.0,180740.0,-
Advances - rent registration,-,-,-,2712907.0,-
Due to primary government,-,-,-,-,218555.0
Accrued Interest Payable,1742429.0,706775.0,2449204.0,-,-
Deposit Held,645850.0,390135.0,1035985.0,10100.0,19484.0
Other Liabilities,3197474.0,214064.0,3411638.0,201164.0,364589.0
Noncurrent liabilities,-,-,-,-,-11.0
Due within one year,11452843.0,3100551.0,14553394.0,19187.0,182436.0
Due in more than one year,161634334.0,43750163.0,205384497.0,233715.0,1231161.0
Total liabilities,193877190.0,51027681.0,244904871.0,3400161.0,2275713.0
NET ASSETS,-,-,-,-,-
Invested in capital assets net of related debt,135833582.0,135560473.0,271394055.0,45607.0,3706604.0
Restricted for:,-,-,-,-,-
Debt service,11599189.0,-,11599189.0,-,-
SSpecial purposes,74138620.0,-,74138620.0,-,193631.0
Capital projects,44913484.0,-,44913484.0,-,-
Unrestricted,-26481637.0,27616182.0,1134546.0,779453.0,1035293.0
Total net assets,240003238.0,163176655.0,403179893.0,825060.0,4935528.0
The accompanying notes are an integral part of these financial statements.,-,-,-,-,-
