label,Expenses,Expenses Allocation,Charges for Services,Grants and Contributions,Grants and  Contributions,Governmental Activities,Business-Type Activities,Total,Rent Stabilization,Berkeley Housing Authority
General government,34737606.0,-4807696.0,2965332.0,21836.0,-,-26942741.0,-,-26942741.0,-,-
Public safety,93788397.0,-,16271404.0,571023.0,-,-76945970.0,-,-76945970.0,-,-
Highways and streets,14576613.0,124114.0,2165995.0,7566710.0,4080103.0,-887918.0,-,-887918.0,-,-
Health and welfare,19546406.0,-,1472907.0,16574202.0,-,-1499296.0,-,-1499296.0,-,-
Culture and recreation,35079112.0,-,3122421.0,64427.0,111463.0,-31780800.0,-,-31780800.0,-,-
Community development and housing,19215309.0,197707.0,2129425.0,6685766.0,-,-10597825.0,-,-10597825.0,-,-
Economic development,3646479.0,-,1505706.0,-,-,-2140773.0,-,-2140773.0,-,-
Interest on long-term debt,4088267.0,-,-,-,-,-4088267.0,-,-4088267.0,-,-
Total governmental activities,224678187.0,-4485876.0,29633190.0,31483965.0,4191566.0,-154883591.0,-,-154883591.0,-,-
Business-type activities:,-,-,-,-,-,-,-,-,-,-
Parking related,7360188.0,-,9817873.0,-,-,-,2457685.0,2457685.0,-,-
Marina operations and maintenance,5456570.0,397523.0,5299039.0,18200.0,-,-,-536854.0,-536854.0,-,-
Sewer services,11874424.0,938762.0,12166250.0,-,-,-,-646936.0,-646936.0,-,-
Clean storm water,2231786.0,158563.0,2065087.0,-,-,-,-325262.0,-325262.0,-,-
Refuse services,30245384.0,2172612.0,32702914.0,-,-,-,284919.0,284919.0,-,-
Permit service center,8334161.0,818416.0,8968166.0,11631.0,-,-,-172779.0,-172779.0,-,-
Building purchase and management,3259428.0,-,2984924.0,-,-,-,-274504.0,-274504.0,-,-
Total business-type activities,68761941.0,4485876.0,74004253.0,29831.0,-,-,786268.0,786268.0,-,-
Total primary government,293440129.0,-,103637444.0,31513796.0,4191566.0,-154883591.0,786268.0,-154097322.0,-,-
Component units:,-,-,-,-,-,-,-,-,-,-
Rent Stabilization,3940634.0,-,3886599.0,-,-,-,-,-,-54035.0,-
Berkeley Housing Authority,24824155.0,-,228839.0,25759747.0,239298.0,-,-,-,-,1403729.0
Total Component Units,28764789.0,-,4115438.0,25759747.0,239298.0,-,-,-,-54035.0,1403729.0
General revenues:,-,-,-,-,-,-,-,-,-,-
Taxes:,-,-,-,-,-,-,-,-,-,-
Property taxes levied for general purposes,-,-,-,-,-,60233049.0,-,60233049.0,-,-
Property taxes levied for debt service,-,-,-,-,-,7115652.0,-,7115652.0,-,-
Property taxes for special purposes:,-,-,-,-,-,-,-,-,-,-
Library,-,-,-,-,-,14581791.0,-,14581791.0,-,-
Parks,-,-,-,-,-,9186260.0,-,9186260.0,-,-
Paramedic,-,-,-,-,-,2454762.0,-,2454762.0,-,-
Fire,-,-,-,-,-,3741157.0,-,3741157.0,-,-
Sales taxes,-,-,-,-,-,14844945.0,-,14844945.0,-,-
Utility users taxes,-,-,-,-,-,14091347.0,-,14091347.0,-,-
Transient occupancy taxes,-,-,-,-,-,4609048.0,-,4609048.0,-,-
Business license tax,-,-,-,-,-,15645975.0,-,15645975.0,-,-
Other taxes,-,-,-,-,-,2853421.0,-,2853421.0,-,-
Other unrestricted state subventions,-,-,-,-,-,399476.0,-,399476.0,-,-
Contributions not restricted to specific programs,-,-,-,-,-,1036535.0,-,1036535.0,-,-
Investment earnings,-,-,-,-,-,2760171.0,176551.0,2936722.0,-,-
Miscellaneous,-,-,-,-,-,1972376.0,-,1972376.0,-,184625.0
Gain on sales of capital assets,-,-,-,-,-,464093.0,2068.0,466161.0,-,-
Extraorindary Gain/,-,-,-,-,-,-259613.0,-,-259613.0,-,-
Transfers:,-,-,-,-,-,-,-,-,-,-
Primary government,-,-,-,-,-,671173.0,-671173.0,-0.0,-,-
Total general revenues and transfers,-,-,-,-,-,156401618.0,-492554.0,155909065.0,-,184625.0
Changes in net assets,-,-,-,-,-,1518026.0,293713.0,1811739.0,-54035.0,1588354.0
Net assets--beginning (as restated),-,-,-,-,-,240003238.0,163176653.0,403179891.0,784789.0,4935528.0
Net assets--ending,-,-,-,-,-,241521264.0,163470366.0,404991630.0,730754.0,6523882.0
The accompanying notes are an integral part of these financial statements.,-,-,-,-,-,-,-,-,-,-
