label,General Fund,,,,Capital FF Renov,Capital Improvement,Other Governmental Funds,Total Governmental Funds
Cash and investments in treasury,80421748.0,-,11725043.0,-,13769430.0,6562664.0,33122890.0,145601775.0
Restricted Cash and investments,-,-,-,-,-,-,3548446.0,3548446.0
Receivables (net of allowance,-,-,-,-,-,-,-,-
where applicable):,-,-,-,-,-,-,-,-
Accounts,8221054.0,-,492412.0,-,-,-,1202461.0,9915927.0
Interest,816560.0,-,-,-,-,547553.0,249789.0,1613902.0
Taxes,5403585.0,-,-,-,-,-,563266.0,5966851.0
Special assessments,-,-,-,-,-,-,303697.0,303697.0
Subventions/grants,-,-,7452212.0,-,-,-,664397.0,8116609.0
Due from other funds,6777054.0,-,-,-,-,2659832.0,-,9436886.0
Due from components units,179629.0,-,-,-,-,-,-,179629.0
Notes receivable,3438803.0,-,23115308.0,-,-,9229057.0,20372585.0,56155752.0
Other,487519.0,-,7776.0,-,-,-,-,495295.0
Total assets b,105745951.0,-,42792750.0,-,13769430.0,18999106.0,60027530.0,241334769.0
LIABILITIES,-,-,-,-,-,-,-,-
Accounts payable,2951049.0,-,441940.0,-,105758.0,224449.0,906184.0,4629381.0
Accrued salaries and wages,2368020.0,-,222510.0,-,2233.0,21138.0,1396447.0,4010349.0
Other liabilities,5362762.0,-,221934.0,-,-,-,204657.0,5789353.0
Due to other funds,-,-,7385945.0,-,-,-,1461238.0,8847183.0
Advance from other funds,-,-,-,-,-,-,-,-
Deposits held,603155.0,-,-,-,-,12933.0,173836.0,789925.0
Deferred revenue,6392105.0,-,5562445.0,-,-,502303.0,1396248.0,13853102.0
Tax and revenue anticipation note,50000000.0,-,-,-,-,-,-,50000000.0
Total liabilities,67677092.0,-,13834774.0,-,107991.0,760824.0,5538612.0,87919292.0
FUND BALANCES,-,-,-,-,-,-,-,-
Nonspendable,3438803.0,-,-,-,-,-,2114083.0,5552886.0
Restricted for,-,-,35353151.0,-,11239045.0,9229057.0,53270008.0,109091260.0
Assigned to,2343500.0,-,-,-,2422394.0,9009226.0,-,13775120.0
Unassigned,32286557.0,-,-6395175.0,-,-,-,-895172.0,24996209.0
Total fund balances,38068859.0,-,28957976.0,-,13661439.0,18238283.0,54488919.0,153415478.0
Total liabilities and fund balances b,105745951.0,-,42792750.0,-,13769430.0,18999106.0,60027530.0,241334769.0
The accompanying notes are an integral part of these financial statements.,-,-,-,-,-,-,-,-
