label,Governmental Activities,Government Business-Type Activities,Total,Rent Stabilization,Units Berkeley Housing Authority
Cash and investments,173555810.0,33806263.0,207362074.0,4070537.0,1711788.0
Receivables (net of allowance for uncollectibles),83731756.0,2979800.0,86711555.0,-,104011.0
Inventories,129295.0,-,129295.0,-,-
Due from Component Unit,179630.0,-,179630.0,-,-
Internal balances,85602.0,-85602.0,-,-,-
Deferred costs,1237783.0,-,1237783.0,-,-
Restricted assets:,-,-,-,-,-
Cash and investments,3548446.0,9733247.0,13281692.0,-,1847915.0
Capital assets not being depreciated:,-,-,-,-,-
Land,21750132.0,2979050.0,24729182.0,-,2579621.0
Construction in progress,11775403.0,1634868.0,13410271.0,-,-
Capital assets net of accumulated depreciation:,-,-,-,-,-
Buildings,71997082.0,24111101.0,96108183.0,-,2060941.0
Improvements other than buildings,8731142.0,10266356.0,18997498.0,-,-
Machinery and equipment,18521082.0,1351481.0,19872563.0,3396.0,27239.0
Infrastructure,81026931.0,125305944.0,206332875.0,-,-
Net Pension assets,2180414.0,-,2180414.0,-,-
Net OPEB assets - Fire,74808.0,-,74808.0,-,-
Total assets,478525316.0,212082506.0,690607821.0,4073933.0,8331515.0
LIABILITIES,-,-,-,-,-
Accounts payable,5429592.0,1270625.0,6700216.0,57717.0,83730.0
Accrued salaries and wages,4219665.0,886031.0,5105696.0,68096.0,-
Advances - rent registration,-,-,-,2751047.0,-
Due to primary government,-,-,-,-,179630.0
Accrued Interest Payable,695667.0,905406.0,1601073.0,-,-
Deposit Held,789925.0,398151.0,1188076.0,10100.0,18978.0
Other Liabilities,6176590.0,357170.0,6533760.0,154664.0,225000.0
Tax and revenue anticipation notes,50000000.0,-,50000000.0,-,-
Noncurrent liabilities (Note lll):,-,-,-,-,-
Due within one year,11157462.0,3121228.0,14278690.0,22878.0,198397.0
Due in more than one year,158535152.0,41673530.0,200208682.0,278677.0,1101898.0
Total liabilities,237004051.0,48612141.0,285616192.0,3343179.0,1807633.0
NET ASSETS,-,-,-,-,-
Invested in capital assets net of related debt,140218431.0,138673632.0,278892063.0,3396.0,3532399.0
Restricted for:,-,-,-,-,-
Debt service,9320347.0,-,9320347.0,-,-
Special purposes,21696321.0,-,21696321.0,-,-
Health and welfare,10592612.0,-,10592612.0,-,-
Urban Redevelopment and Housing,41785729.0,-,41785729.0,-,1845007.0
Capital projects,27810334.0,-,27810334.0,-,-
Unrestricted,-9902509.0,24796734.0,14894225.0,727358.0,1146476.0
Total net assets,241521265.0,163470366.0,404991631.0,730754.0,6523882.0
The accompanying notes are an integral part of these financial statements.,-,-,-,-,-
