label,Governmental Activities,Business-Type Activities,Total,Rent Stabilization
Cash and investments,162757343.0,41382047.0,204139390.0,4313086.0
Receivables (net of allowance for uncollectibles),90253261.0,3258221.0,93511482.0,-
Inventories,112148.0,-,112148.0,-
Internal balances,-783655.0,783655.0,-,-
Restricted assets:,-,-,-,-
Cash and investments,26415125.0,3564661.0,29979785.0,-
Capital assets not being depreciated:,-,-,-,-
Land,21750132.0,2979050.0,24729182.0,-
Construction in progress,3789.0,168698.0,172488.0,-
Capital assets net of accumulated depreciation:,-,-,-,-
Buildings,90338023.0,23972807.0,114310830.0,-
Improvements other than buildings,10614411.0,10909525.0,21523937.0,-
Machinery and equipment,18650943.0,1653043.0,20303986.0,343820.0
Infrastructure,81417903.0,129041983.0,210459886.0,-
Total capital assets being depreciated net,201021281.0,165577358.0,366598639.0,343820.0
Net Pension assets,2722904.0,-,2722904.0,-
Net OPEB assets - Fire,4947.0,-,4947.0,-
TOTAL ASSETS,504257274.0,217713690.0,721970964.0,4656906.0
Ol,-,-,-,-
© LIABILITIES,-,-,-,-
Accounts payable,7992508.0,1939886.0,9932394.0,63393.0
Accrued salaries and wages,4555890.0,1106352.0,5662243.0,84348.0
Accrued Interest Payable,1572008.0,594498.0,2166506.0,-
Deposit Held,1032958.0,408856.0,1441814.0,10100.0
Other Liabilities,4525509.0,585371.0,5110879.0,191564.0
Unearned revenues,292565.0,-,292565.0,-
Advances - rent registration,-,-,-,3221208.0
Tax and revenue anticipation notes,24995000.0,-,24995000.0,-
Noncurrent liabilities (Note Ill):,-,-,-,-
Due within one year,10137750.0,3475770.0,13613520.0,20027.0
Due in more than one year,175953030.0,38039519.0,213992550.0,243949.0
TOTAL LIABILITIES,231057218.0,46150252.0,277207470.0,3834590.0
NET POSITION,-,-,-,-
Net Investment in Capital assets,153321028.0,141101726.0,294422754.0,343820.0
Restricted for:,-,-,-,-
Debt service,9879916.0,3564661.0,13444577.0,-
Special purposes,36207381.0,-,36207381.0,-
Health and welfare,15116492.0,-,15116492.0,-
Urban Redevelopment and Housing,46801843.0,-,46801843.0,-
Capital projects,14927978.0,-,14927978.0,-
Unrestricted,-3054582.0,26897051.0,23842469.0,478496.0
TOTAL NET POSITION,273200056.0,171563438.0,444763494.0,822316.0
The accompanying notes are an integral part of these financial statements.,-,-,-,-
