label,General Fund,,Grants,,Library,Capital Improvement,Other Governmental Funds,Total Governmental Funds
Cash and investments in treasury,57619853.0,-,19050918.0,-,8118174.0,12406365.0,62644985.0,159840295.0
Restricted Cash and investments,24995000.0,-,-,-,-,-,6853176.0,31848176.0
Receilvables (net of allowance,-,-,-,-,-,-,-,-
where applicable):,-,-,-,-,-,-,-,-
Accounts,7072222.0,-,156082.0,-,1337.0,-,1107740.0,8337381.0
Interest,534417.0,-,-,-,-,41225.0,399789.0,975430.0
Taxes,421286.0,-,-,-,192474.0,-,1317534.0,10931294.0
Special assessments,-,-,-,-,-,-,205850.0,205850.0
Subventions/grants,-,-,6626044.0,-,-,-,544223.0,7170267.0
Due from other funds,2920341.0,-,-,-,-,2278768.0,-,5199109.0
Notes receivable,3595304.0,-,27689143.0,-,-,7757390.0,16608551.0,55650388.0
Other,353081.0,-,1.0,-,-,-,45205.0,398288.0
Property held for resale,-,-,-,-,-,-,713313.0,713313.0
Total Assets,106511504.0,-,53622188.0,-,8311986.0,22483748.0,90440365.0,281269791.0
LIABILITIES,-,-,-,-,-,-,-,-
Accounts payable,1768426.0,-,775893.0,-,261100.0,353614.0,1193042.0,4352076.0
Accrued salaries and wages,4501609.0,-,451153.0,-,520506.0,64388.0,2011361.0,7549017.0
Due to other funds,-,-,4168086.0,-,-,-,1031023.0,5199109.0
Deposits held,839923.0,-,-,-,-,12933.0,136396.0,989252.0
Unearned revenues,-,-,405533.0,-,30000.0,-,6264.0,441798.0
Tax and revenue anticipation note,24995000.0,-,-,-,-,-,-,24995000.0
Other liabilities,3706404.0,-,-,-,-,-,152637.0,3859041.0
Total Liabilities,35811362.0,-,5800666.0,-,811605.0,430935.0,4530724.0,47385290.0
DEFERRED INFLOWS OF RESOURCES,-,-,-,-,-,-,-,-
Unavailable revenue,5675636.0,-,5013079.0,-,1337.0,554285.0,1277812.0,12522149.0
Total Deferred Inflows of Resources,5675636.0,-,5013079.0,-,1337.0,554285.0,1277812.0,12522149.0
FUND BALANCES,-,-,-,-,-,-,-,-
Restricted,3595304.0,-,46220026.0,-,7499044.0,7757390.0,85176095.0,150247860.0
Assigned,3686427.0,-,-,-,-,13741138.0,-,17427565.0
Unassigned,57742775.0,-,-3511583.0,-,-,-,-544267.0,53686924.0
Total Fund Balances,65024506.0,-,42708443.0,-,7499044.0,21498528.0,84631829.0,221362351.0
Total liabilities Deferred Inflows of,-,-,-,-,-,-,-,-
Resources and Fund Balances,106511504.0,-,53522188.0,-,8311986.0,22483748.0,90440365.0,281269790.0
The accompanying notes are an integral part of these financial statements.,-,-,-,-,-,-,-,-
