label,Expenses,Indirect Expenses Allocation,Charges for Services,Revenues Operating Grants and Contributions,Capital Grants and Contributions,Net Activities,Revenue and Government Activities,Changes in Net Total,Unit Rent Stabilization Board
General government,53701136.0,-6161577.0,5720397.0,-,-,-41819162.0,-,-41819162.0,-
Public safety,123171811.0,-,11168764.0,736598.0,-,-111266449.0,-,-111266449.0,-
Highways and streets,18555985.0,72820.0,1909139.0,512979.0,3294080.0,-12912607.0,-,-12912607.0,-
Health and welfare,28183652.0,-,1494988.0,14009667.0,-,-12678997.0,-,-12678997.0,-
Culture and recreation,42996852.0,-,2628060.0,107099.0,1512385.0,-38749308.0,-,-38749308.0,-
Community development and housing,24962045.0,163374.0,3451491.0,9732900.0,-,-11941027.0,-,-11941027.0,-
Economic development,2719990.0,-,186584.0,-,-,-2533406.0,-,-2533406.0,-
Interest on long-term debt,5287052.0,-,-,-,-,-5287052.0,-,-5287052.0,-
Total governmental activities,299578523.0,-5925383.0,26559422.0,25099244.0,4806465.0,-237188008.0,-,-237188008.0,-
Business-type activities:,-,-,-,-,-,-,-,-,-
Parking related,10736569.0,-,12332740.0,-,-,-,1596171.0,1596171.0,-
Marina operations and maintenance,6473603.0,573270.0,5793447.0,-,499672.0,-,-753755.0,-753755.0,-
Sewer services,11920913.0,1097402.0,23979787.0,-,-,-,10961472.0,10961472.0,-
Clean storm water,2730989.0,207412.0,2061279.0,-,-,-,-877122.0,-877122.0,-
Refuse services,37610905.0,2631526.0,45004548.0,-,-,-,4762118.0,4762118.0,-
Permit service center,15499285.0,1415773.0,17803610.0,-,35897.0,-,24450.0,24450.0,-
Building purchase and management,2666087.0,-,2841172.0,-,-,-,175085.0,175085.0,-
Total business-type activities,87638351.0,5925383.0,109816583.0,-,535569.0,-,16788418.0,16788418.0,-
Total primary government,387216873.0,-,136376005.0,25099244.0,5342034.0,-237188008.0,16788418.0,-220399590.0,-
Component unit:,-,-,-,-,-,-,-,-,-
Rent stabilization board,5147812.0,-,5536715.0,-,-,-,-,-,388903.0
Total component unit,5147812.0,-,5536715.0,-,-,-,-,-,388903.0
General Revenues:,-,-,-,-,-,-,-,-,-
Taxes:,-,-,-,-,-,-,-,-,-
Property taxes levied for general purposes,-,-,-,-,-,92655664.0,-,92655664.0,-
Property taxes levied for debt services,-,-,-,-,-,9334683.0,-,9334683.0,-
Property taxes levied for special purposes:,-,-,-,-,-,-,-,-,-
Library,-,-,-,-,-,19086897.0,-,19086897.0,-
Parks,-,-,-,-,-,12960911.0,-,12960911.0,-
Paramedic,-,-,-,-,-,2964822.0,-,2964822.0,-
Fire,-,-,-,-,-,4889292.0,-,4889292.0,-
Sales taxes,-,-,-,-,-,18857882.0,-,18857882.0,-
Utility users taxes,-,-,-,-,-,14688225.0,-,14688225.0,-
Transient occupancy taxes,-,-,-,-,-,8754269.0,-,8754269.0,-
Business license tax,-,-,-,-,-,25805130.0,-,25805130.0,-
Other taxes,-,-,-,-,-,22144726.0,-,22144726.0,-
Total taxes,-,-,-,-,-,232142501.0,-,232142501.0,-
Other unrestricted state subventions,-,-,-,-,-,390434.0,-,390434.0,-
Contributions not restricted to specific programs,-,-,-,-,-,265286.0,-,265286.0,-
Investment earnings,-,-,-,-,-,3282904.0,280816.0,3563720.0,-
Miscellaneous,-,-,-,-,-,2871625.0,323866.0,3195491.0,-
Transfers:,-,-,-,-,-,-,-,-,-
Primary government,-,-,-,-,-,1030495.0,-1030495.0,-,-
Total general revenues and transfers,-,-,-,-,-,239983245.0,-425813.0,2395577432.0,-
Changes 1n net position,-,-,-,-,-,2795237.0,16362605.0,19157842.0,388903.0
Net position - beginning as restated,-,-,15.0,-,-,-125236583.0,150836229.0,25599646.0,-5579635.0
Net position - ending,-,-,-,-,-,-122441346.0,167198834.0,44757488.0,-5190732.0
The accompanying notes are an integral part of these financial statements,-,-,-,-,-,-,-,-,-
