label,,,Fund,,Major Grants,,,,,,,,,,,,Total
Cash and investments in treasury,-,-,82507563.0,-,22541592.0,-,-,11350803.0,-,-,7043632.0,-,-,123763997.0,-,-,247207587.0
Restricted cash and investments,-,-,25550000.0,-,-,-,-,-,-,-,-,-,-,673539.0,-,-,26223539.0
Receivables (net of allowance,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
where applicable):,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Accounts,-,-,6950975.0,-,233082.0,-,-,-,-,-,-,-,-,1307851.0,-,-,8491909.0
Interest,-,-,762624.0,-,-,-,-,-,-,-,-,-,-,542451.0,-,-,1305075.0
Taxes,-,-,8622572.0,-,-,-,-,-,-,-,-,-,-,1388201.0,-,-,10010773.0
Special assessments,-,-,-,-,-,-,-,155989.0,-,-,-,-,-,154715.0,-,-,310704.0
Subventions/grants,-,-,180000.0,-,9431839.0,-,-,-,-,-,-,-,-,1988638.0,-,-,11600477.0
Due from other funds,-,-,6659468.0,-,-,-,-,-,-,-,3211577.0,-,-,45206.0,-,-,9916252.0
Notes receivable,-,-,3755304.0,-,31696463.0,-,-,-,-,-,7986845.0,-,-,19536149.0,-,-,62974761.0
Other,-,-,4812.0,-,389312.0,-,-,-,-,-,-,-,-,47696.0,-,-,441820.0
Property held for resale,-,-,-,-,-,-,-,-,-,-,-,-,-,713313.0,-,-,713313.0
Prepaid items,-,-,142342.0,-,-,-,-,-,-,-,-,-,-,-,-,-,142342.0
Total assets,-,-,135135660.0,-,64292288.0,-,-,11506792.0,-,-,18242054.0,-,-,150161757.0,-,-,379338551.0
Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Accounts payable,-,-,3610418.0,-,1094443.0,-,-,425262.0,-,-,517404.0,-,-,2464102.0,-,-,8111628.0
Accrued salaries and wages,-,-,5472992.0,-,668542.0,-,-,593611.0,-,-,72381.0,-,-,1316240.0,-,-,8123766.0
Advances from other funds,-,-,6286511.0,-,-,-,-,-,-,-,-,-,-,-,-,-,6286511.0
Due to other funds,-,-,-,-,7549879.0,-,-,-,-,-,-,-,-,2356241.0,-,-,9906120.0
Deposits held,-,-,974315.0,-,-,-,-,-,-,-,12933.0,-,-,76242.0,-,-,1063490.0
Unearned revenues,-,-,-,-,267496.0,-,-,39441.0,-,-,-,-,-,6264.0,-,-,313201.0
Taxes and revenue anticipation note,-,-,25550000.0,-,-,-,-,-,-,-,-,-,-,-,-,-,25550000.0
Other liabilities,-,-,3754958.0,-,28507.0,-,-,-,-,-,-,-,-,60000.0,-,-,3843465.0
Total liabilities,-,-,45649193.0,-,9608866.0,-,-,1058313.0,-,-,602718.0,-,-,6279089.0,-,-,63198179.0
Deferred Intflows of Resources,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Unavailable revenue,-,-,5601324.0,-,6159111.0,-,-,3700.0,-,-,554285.0,-,-,3218605.0,-,-,15537025.0
Total deferred inflows of resources,-,-,5601324.0,-,6159111.0,-,-,3700.0,-,-,554285.0,-,-,3218605.0,-,-,15537025.0
Fund Balances,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nonspendable,-,-,142342.0,-,-,-,-,-,-,-,-,-,-,-,-,-,142342.0
Restricted,-,-,3755304.0,-,53056338.0,-,-,10444779.0,-,-,7986845.0,-,-,141590268.0,-,-,216833534.0
Assigned,-,-,33373367.0,-,-,-,-,-,-,-,9098207.0,-,-,-,-,-,42471574.0
Unassigned,-,-,46614130.0,-,-4532027.0,-,-,-,-,-,-,-,-,-926205.0,-,-,41155898.0
Total fund balances,-,-,83885143.0,-,48524311.0,-,-,10444779.0,-,-,17085052.0,-,-,140664063.0,-,-,300603347.0
Total liabilities deferred inflows of,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
resources and fund balances,-,-,135135660.0,-,64292288.0,-,-,11506792.0,-,-,18242055.0,-,-,150161757.0,-,-,379338551.0
The accompanying notes are an integral part of these financial statements,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
