label,Expenses,Indirect Expenses Allocation,Charges for Services,Revenues Operating Grants and Contributions,Capital Grants and Contributions,Net Governmental Activities,Revenue Government Business-Type Activities,Changes in Net Total,,Unit Rent
General government,44836569.0,-5223724.0,4313273.0,75500.0,-,-35224072.0,-,-35224072.0,-,-
Public safety,133934428.0,-,11145339.0,2126511.0,-,-120662578.0,-,-120662578.0,-,-
Highways and streets,22244158.0,60748.0,1413973.0,405508.0,2145942.0,-18339483.0,-,-18339483.0,-,-
Health and welfare,35370732.0,-,1479103.0,13835779.0,-,-20055850.0,-,-20055850.0,-,-
Culture and recreation,52589539.0,-,2291989.0,124246.0,1217410.0,-48955894.0,-,-48955894.0,-,-
Community development and housing,27198932.0,147456.0,5165907.0,10465156.0,-,-11715325.0,-,-11715325.0,-,-
Economic development,5459482.0,-,463045.0,-,-,-4996437.0,-,-4996437.0,-,-
Interest on long-term debt,4970956.0,-,-,-,-,-4970950.0,-,-4970950.0,-,-
Total governmental activities,326604796.0,-5015520.0,26272629.0,27032700.0,3363352.0,-264920595.0,-,-264920595.0,-,-
Business-type activities:,-,-,-,-,-,-,-,-,-,-
Parking related,15166460.0,-,14215039.0,-,-,-,-951421.0,-951421.0,-,-
Marina operations and maintenance,6467036.0,426800.0,6934118.0,-,-,-,40282.0,40282.0,-,-
Sewer services,16964483.0,810498.0,24344044.0,-,-,-,6569063.0,6569063.0,-,-
Clean storm water,2190654.0,128062.0,3949602.0,-,-,-,1630886.0,1630886.0,-,-
Refuse services,40940719.0,2176592.0,48524914.0,-,-,-,5407603.0,5407603.0,-,-
Permit service center,16017984.0,1473568.0,16685852.0,-,-,-,-805700.0,-805700.0,-,-
Building purchase and management,2629827.0,-,2134674.0,-,-,-,104847.0,104847.0,-,-
Total business-type activities,100377163.0,5015520.0,117388243.0,-,-,-,11995560.0,11995560.0,-,-
Total primary government,426981959.0,-,143660872.0,27032700.0,3363352.0,-2649205995.0,11995560.0,-252925035.0,-,-
Component unit:,-,-,-,-,-,-,-,-,-,-
Rent stabilization board,5408109.0,-,5251555.0,-,-,-,-,-,-,-156554.0
Total component unit,5408109.0,-,5251555.0,-,-,-,-,-,-,-156554.0
General Revenues:,-,-,-,-,-,-,-,-,-,-
Taxes:,-,-,-,-,-,-,-,-,-,-
Property taxes levied for general purposes,-,-,-,-,-,100258772.0,-,100258772.0,-,-
Property taxes levied for debt services,-,-,-,-,-,10173201.0,-,10173201.0,-,-
Property taxes levied for special purposes - i,-,-,-,-,-,-,-,-,-,-
Library,-,-,-,-,-,19697647.0,-,19697647.0,-,-
Parks,-,-,-,-,-,13386448.0,-,13386448.0,-,-
Paramedic,-,-,-,-,-,3050159.0,-,3050159.0,-,-
Fire,-,-,-,-,-,5044450.0,-,5044450.0,-,-
Sales taxes,-,-,-,-,-,20652090.0,-,20652090.0,-,-
Utility users taxes,-,-,-,-,-,13898172.0,-,13898172.0,-,-
Transient occupancy taxes,-,-,-,-,-,9855058.0,-,9855058.0,-,-
Business license tax,-,-,-,-,-,27740995.0,-,27740995.0,-,-
Other taxes,-,-,-,-,-,25008813.0,-,25008813.0,-,-
Total taxes,-,-,-,-,-,248765805.0,-,248765805.0,-,-
Other unrestricted state subventions,-,-,-,-,-,387181.0,-,387181.0,-,-
Contributions not restricted to specific programs,-,-,-,-,-,462614.0,-,462614.0,-,-
Investment earnings,-,-,-,-,-,10060124.0,2392270.0,12452394.0,-,-
Insurance reimbursement,-,-,-,-,-,17927255.0,-,17927255.0,-,-
Miscellaneous,-,-,-,-,-,2922834.0,-,2922834.0,-,-
Transfers:,-,-,-,-,-,-,-,-,-,-
Primary government,-,-,-,-,-,4816081.0,-4816681.0,-,-,-
Total general revenues and transfers,-,-,-,-,-,285342494.0,-2424411.0,282918083.0,-,-
Changes in net position,-,-,-,-,-,20421899.0,9571149.0,29993048.0,-,-156554.0
Net position - beginning as restated,-,-,-15.0,-,-,-123474344.0,167198824.0,43724480.0,-,-5190732.0
Net position - ending,-,-,-,-,-,-103052445.0,176769973.0,73717528.0,-,-5347286.0
The accompanying notes are an integral part of these financial statements,-,-,-,-,-,-,-,-,-,-
32 FOR YEAR ENDED JUNE 30 2019 FOR YEAR ENDED JUNE,-,-,-,-,-,-,302019.0,-,-,33.0
