Clty of Berkeley California Comprehensive Annual Financial Report,-,-,-,-,-,-
Balance Sheet,-,-,-,-,-,-
Governmental Funds,-,-,-,-,-,-
June,-,-,-,-,-,-
. MaorFunas,-,-,-,-,-,-
Other Total,-,-,-,-,-,-
General Capital Governmental Governmental,-,-,-,-,-,-
Fund Grants Library Improvement Funds Funds,-,-,-,-,-,-
Assets,-,-,-,-,-,-
Cash and investments in treasury,92941104.0,-,9.0,11733511.0,54094281.0,158768896.0
Restricted cash and investments,14418833.0,23924312.0,12650407.0,-,91859291.0,142852843.0
Receivables (net of allowance,-,-,-,-,-,-
where applicable):,-,-,-,-,-,-
Accounts,4980235.0,196932.0,5702.0,-,1083076.0,6265945.0
Interest,77516.0,-,-,-,573791.0,1351307.0
Taxes,9953147.0,-,177818.0,-,1796645.0,11927610.0
Special assessments,-,-,-,-,-,-
Subventions/grants,450425.0,11531989.0,-,-,1107931.0,13090345.0
Due from other funds,6973098.0,-,-,4178965.0,45207.0,11197270.0
Notes receivable,3696971.0,31574425.0,-,7929263.0,20364231.0,63564890.0
Other,320495.0,156082.0,8048.0,-,-,484625.0
Property held for resale,-,-,-,-,713313.0,713313.0
Prepaid items,-,485140.0,-,-,-,485140.0
Total assets,134511824.0,67868880.0,12841975.0,23841739.0,171637766.0,410702184.0
Liabilities,-,-,-,-,-,-
Accounts payable,6735514.0,1355529.0,360758.0,839926.0,4386834.0,13678561.0
Accrued salaries and wages,5988638.0,485033.0,597509.0,98407.0,1350522.0,8520109.0
Advances from other funds,4059220.0,-,-,-,-,4059220.0
Due to other funds,-,9409147.0,-,-,1425286.0,10834433.0
Deposits held,780872.0,-,-,12933.0,136242.0,930047.0
Unearned revenues,-,291854.0,30000.0,-,6264.0,328118.0
Taxes and revenue anticipation note,14000000.0,-,-,-,-,14000000.0
Other liabilities,3898593.0,-,31207.0,-,342.0,3930142.0
Total liabilities,35462837.0,11541563.0,1019474.0,951266.0,7305490.0,56280630.0
Deferred Inflows of Resources,-,-,-,-,-,-
Unavailable revenue,5813321.0,8650924.0,5702.0,554285.0,2144927.0,17169159.0
Total deferred inflows of resources,5813321.0,8650924.0,5702.0,554285.0,2144927.0,17169159.0
Fund Balances,-,-,-,-,-,-
Nonspendable,-,485140.0,-,-,-,485140.0
Restricted,3696971.0,47191253.0,11816799.0,7929263.0,105803932.0,176438218.0
Committed,-,-,-,-,56528083.0,56528083.0
Assigned,42666449.0,-,-,14406925.0,-,57073374.0
Unassigned,46872247.0,-,-,-,-144666.0,46727581.0
Total fund balances,93235667.0,47676393.0,11816799.0,22336188.0,162187349.0,337252396.0
Total liabilities deferred inflows of,-,-,-,-,-,-
resources and fund balances,134511824.0,67868880.0,12841975.0,23841739.0,171637766.0,410702184.0
The accompanying notes are an integral part of these financial statements,-,-,-,-,-,-
36 FOR YEAR ENDED JUNE,-,-,-,-,-,302019.0
